R_Ortalama,G_Ortalama,B_Ortalama,Parlaklik,Seviye_Sinifi
98.857421875,90.30810546875,67.994140625,85.71988932291667,aerial
124.37158203125,136.994140625,131.7041015625,131.02327473958334,aerial
17.77734375,30.534912109375,42.202392578125,30.171549479166668,aerial
63.725341796875,72.6845703125,71.22607421875,69.21199544270833,aerial
144.59130859375,111.4423828125,99.455322265625,118.496337890625,aerial
74.66796875,67.42822265625,63.1650390625,68.42041015625,aerial
78.951171875,105.98681640625,114.34423828125,99.7607421875,aerial
35.77392578125,41.884033203125,46.817138671875,41.49169921875,aerial
69.354248046875,59.769775390625,58.7265625,62.616861979166664,aerial
140.847412109375,151.5859375,138.029541015625,143.48763020833334,aerial
107.1064453125,129.478515625,121.28076171875,119.28857421875,aerial
87.830078125,103.148681640625,141.94873046875,110.975830078125,aerial
81.0546875,86.538818359375,80.21630859375,82.603271484375,aerial
61.32470703125,53.095947265625,46.082763671875,53.501139322916664,aerial
64.87646484375,103.446044921875,113.545166015625,93.95589192708333,aerial
87.09423828125,104.468994140625,94.353759765625,95.3056640625,aerial
109.547607421875,102.71875,98.91015625,103.72550455729167,aerial
127.98876953125,127.91357421875,127.196533203125,127.69962565104167,aerial
32.608642578125,41.052734375,35.485107421875,36.382161458333336,aerial
64.748779296875,77.291015625,89.392822265625,77.14420572916667,aerial
146.9150390625,147.266357421875,149.0498046875,147.74373372395834,aerial
65.549560546875,66.51220703125,64.803466796875,65.62174479166667,aerial
74.0263671875,64.72998046875,62.446533203125,67.067626953125,aerial
57.070068359375,68.087158203125,72.60546875,65.9208984375,aerial
152.7041015625,146.2998046875,134.77685546875,144.59358723958334,aerial
136.087158203125,151.600341796875,161.933349609375,149.87361653645834,aerial
89.53759765625,98.899169921875,111.625732421875,100.02083333333333,aerial
57.300537109375,58.56494140625,56.584716796875,57.4833984375,aerial
85.425048828125,100.366943359375,101.777587890625,95.85652669270833,aerial
117.705322265625,118.424072265625,108.69189453125,114.9404296875,aerial
101.969970703125,97.603271484375,50.81005859375,83.46110026041667,aerial
101.71630859375,114.67529296875,155.65380859375,124.01513671875,aerial
98.94921875,84.69921875,59.50537109375,81.05126953125,aerial
98.403564453125,98.885986328125,108.109130859375,101.799560546875,aerial
27.4833984375,30.420654296875,32.7646484375,30.222900390625,aerial
174.80029296875,170.692626953125,159.80419921875,168.432373046875,aerial
73.193359375,79.55615234375,81.771728515625,78.17374674479167,aerial
137.085205078125,131.678466796875,130.055419921875,132.939697265625,aerial
136.021240234375,156.544921875,153.10693359375,148.55769856770834,aerial
84.586669921875,97.766357421875,120.14453125,100.83251953125,aerial
17.53955078125,51.054931640625,58.1220703125,42.238850911458336,aerial
82.33935546875,118.573974609375,88.3134765625,96.408935546875,aerial
75.5439453125,92.40576171875,89.049072265625,85.666259765625,aerial
107.453857421875,104.486572265625,87.43310546875,99.79117838541667,aerial
105.409423828125,108.231201171875,105.07958984375,106.24007161458333,aerial
99.222900390625,104.938232421875,107.815185546875,103.99210611979167,aerial
60.6708984375,69.363525390625,68.46337890625,66.16593424479167,aerial
53.193603515625,71.634765625,75.86767578125,66.898681640625,aerial
111.28125,101.266845703125,75.93115234375,96.15974934895833,aerial
102.681640625,116.833740234375,109.712890625,109.74275716145833,aerial
140.533935546875,130.4169921875,135.45166015625,135.467529296875,aerial
110.771728515625,103.394287109375,92.598876953125,102.25496419270833,aerial
82.468994140625,91.6376953125,89.423828125,87.843505859375,aerial
92.20458984375,96.716552734375,84.778564453125,91.23323567708333,aerial
92.173583984375,101.890380859375,118.3623046875,104.14208984375,aerial
66.3369140625,76.6884765625,80.75830078125,74.59456380208333,aerial
38.00390625,117.9140625,116.67138671875,90.86311848958333,aerial
105.284912109375,117.031494140625,124.95751953125,115.75797526041667,aerial
48.66455078125,47.545654296875,45.560546875,47.256917317708336,aerial
153.2294921875,162.4658203125,188.62109375,168.10546875,aerial
100.90576171875,129.462158203125,89.80810546875,106.725341796875,aerial
61.621826171875,74.542236328125,59.923095703125,65.36238606770833,aerial
110.45703125,109.05126953125,102.39208984375,107.30013020833333,aerial
17.958251953125,30.210205078125,41.811279296875,29.993245442708332,aerial
56.224853515625,54.341552734375,55.247314453125,55.271240234375,aerial
76.198486328125,83.65283203125,61.10302734375,73.65144856770833,aerial
101.351318359375,104.44091796875,106.898193359375,104.23014322916667,aerial
107.46630859375,118.4736328125,99.431640625,108.45719401041667,aerial
122.72998046875,116.84033203125,106.504638671875,115.35831705729167,aerial
111.267578125,113.645751953125,91.851806640625,105.58837890625,aerial
112.5830078125,102.90478515625,70.925048828125,95.470947265625,aerial
103.777587890625,105.35888671875,87.1162109375,98.75089518229167,aerial
105.38232421875,111.471923828125,116.03564453125,110.96329752604167,aerial
141.618408203125,146.548828125,141.3642578125,143.17716471354166,aerial
103.4208984375,109.871826171875,74.43359375,95.90877278645833,aerial
122.425048828125,125.2021484375,109.08740234375,118.90486653645833,aerial
131.3974609375,124.546875,112.48876953125,122.81103515625,aerial
